0.772866,-39.0164,-42.6926
0.783129,-39.4098,-42.7131
0.807761,-39.8279,-42.7623
0.848814,-40.541,-42.8443
0.869341,-40.8443,-42.8852
0.924762,-41.4918,-42.9959
0.978132,-41.9918,-43.1025
1.05613,-42.582,-43.2582
1.12592,-43.0246,-43.3975
1.21008,-43.3689,-43.5656
1.29424,-43.7213,-43.7336
1.33735,-43.8058,-43.8197
1.40303,-43.9344,-43.9508
1.41535,-43.9496,-43.9754
1.47898,-44.0282,-44.0738
1.51593,-44.0738,-44.0984
1.57751,-44.1075,-44.1393
1.62061,-44.1311,-44.1652
1.65961,-44.1338,-44.1885
1.73967,-44.1393,-44.2197
1.74377,-44.1374,-44.2213
1.77662,-44.1222,-44.2049
1.81972,-44.1023,-44.2213
1.8423,-44.0918,-44.1803
1.8772,-44.0757,-44.2131
1.8813,-44.0738,-44.2022
1.90183,-44.0571,-44.1475
1.93467,-44.0304,-44.1393
1.9593,-44.0104,-44.1721
1.97778,-43.9954,-44.1148
2.00241,-43.9754,-44.0943
2.02704,-43.9581,-44.0738
2.09478,-43.9103,-44.0656
2.10709,-43.9016,-44.0554
2.16457,-43.8573,-44.0082
2.2241,-43.8115,-43.9644
2.24257,-43.7964,-43.9508
2.31852,-43.7347,-43.9016
2.33494,-43.7213,-43.8798
2.3801,-43.6816,-43.8197
2.43757,-43.6311,-43.7951
2.4622,-43.6027,-43.7377
2.50531,-43.553,-43.7131
2.52994,-43.5246,-43.6952
2.59563,-43.4758,-43.6475
2.61821,-43.459,-43.6218
2.68184,-43.3969,-43.5492
2.71058,-43.3689,-43.5262
2.74342,-43.342,-43.5
2.80089,-43.2951,-43.455
2.8481,-43.244,-43.418
2.89942,-43.1885,-43.3345
2.90353,-43.1845,-43.3279
2.961,-43.1283,-43.3443
3,-43.0902,-43.2951
